date,value
2021-06-21,196
2021-06-22,185
2021-06-23,173
2021-06-24,160
2021-06-25,152
2021-06-26,148
2021-06-27,143
2021-06-28,142
2021-06-29,131
2021-06-30,126
2021-07-01,115
2021-07-02,112
2021-07-03,112
2021-07-04,112
2021-07-05,111
2021-07-06,106
2021-07-07,98
2021-07-08,90
2021-07-09,89
2021-07-10,86
2021-07-11,87
2021-07-12,90
2021-07-13,86
2021-07-14,83
2021-07-15,83
2021-07-16,87
2021-07-17,88
2021-07-18,91
2021-07-19,109
2021-07-20,112
2021-07-21,120
2021-07-22,124
2021-07-23,132
2021-07-24,143
2021-07-25,152
2021-07-26,162
2021-07-27,173
2021-07-28,184
2021-07-29,188
2021-07-30,187
2021-07-31,194
2021-08-01,204
2021-08-02,214
2021-08-03,211
2021-08-04,218
2021-08-05,221
2021-08-06,222
2021-08-07,222
2021-08-08,221
2021-08-09,223
2021-08-10,225
2021-08-11,223
2021-08-12,217
2021-08-13,210
2021-08-14,208
2021-08-15,208
2021-08-16,209
2021-08-17,212
2021-08-18,223
2021-08-19,222
2021-08-20,224
2021-08-21,222
2021-08-22,226
2021-08-23,238
2021-08-24,234
2021-08-25,232
2021-08-26,228
2021-08-27,232
2021-08-28,233
2021-08-29,227
2021-08-30,228
2021-08-31,220
2021-09-01,214
2021-09-02,216
2021-09-03,221
2021-09-04,219
2021-09-05,222
2021-09-06,229
2021-09-07,231
2021-09-08,229
2021-09-09,225
2021-09-10,223
2021-09-11,216
2021-09-12,207
2021-09-13,207
2021-09-14,211
2021-09-15,211
2021-09-16,208
2021-09-17,204
2021-09-18,200
2021-09-19,205
2021-09-20,208
2021-09-21,207
2021-09-22,193
2021-09-23,194
2021-09-24,189
2021-09-25,183
2021-09-26,179
2021-09-27,171
2021-09-28,162
2021-09-29,155
2021-09-30,147
2021-10-01,146
2021-10-02,141
2021-10-03,143
2021-10-04,150
2021-10-05,139
2021-10-06,141
2021-10-07,136
2021-10-08,138
2021-10-09,145
2021-10-10,148
2021-10-11,154
2021-10-12,150
2021-10-13,155
2021-10-14,155
2021-10-15,149
2021-10-16,146
2021-10-17,157
2021-10-18,166
2021-10-19,169
2021-10-20,180
2021-10-21,184
2021-10-22,203
2021-10-23,199
2021-10-24,204
2021-10-25,213
2021-10-26,214
2021-10-27,223
2021-10-28,227
2021-10-29,242
2021-10-30,229
2021-10-31,239
2021-11-01,253
2021-11-02,268
2021-11-03,280
2021-11-04,286
2021-11-05,298
2021-11-06,312
2021-11-07,332
2021-11-08,334
2021-11-09,340
2021-11-10,352
2021-11-11,366
2021-11-12,384
2021-11-13,384
2021-11-14,399
2021-11-15,410
2021-11-16,432
2021-11-17,437
2021-11-18,456
2021-11-19,472
2021-11-20,480
2021-11-21,501
2021-11-22,524
2021-11-23,536
2021-11-24,553
2021-11-25,577
2021-11-26,573
2021-11-27,595
2021-11-28,605
2021-11-29,626
2021-11-30,643
2021-12-01,645
2021-12-02,639
2021-12-03,635
2021-12-04,622
2021-12-05,635
2021-12-06,652
2021-12-07,663
2021-12-08,669
2021-12-09,678
2021-12-10,679
2021-12-11,655
2021-12-12,667
2021-12-13,667
2021-12-14,652
2021-12-15,655
2021-12-16,653
2021-12-17,660
2021-12-18,639
2021-12-19,630
2021-12-20,630
2021-12-21,622
2021-12-22,597
2021-12-23,578
2021-12-24,565
2021-12-25,546
2021-12-26,547
2021-12-27,559
2021-12-28,545
2021-12-29,527
2021-12-30,509
2021-12-31,493
2022-01-01,481
2022-01-02,483
2022-01-03,496
2022-01-04,471
2022-01-05,461
2022-01-06,447
2022-01-07,429
2022-01-08,422
2022-01-09,417
2022-01-10,421
2022-01-11,403
2022-01-12,385
2022-01-13,369
2022-01-14,349
2022-01-15,331
2022-01-16,320
2022-01-17,325
2022-01-18,311
2022-01-19,307
2022-01-20,296
2022-01-21,288
2022-01-22,273
2022-01-23,265
2022-01-24,263
2022-01-25,260
2022-01-26,253
2022-01-27,250
2022-01-28,240
2022-01-29,221
2022-01-30,213
2022-01-31,224
2022-02-01,218
2022-02-02,220
2022-02-03,227
2022-02-04,227
