,0 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
2021-09-13,1,6,11,21,19,9,0
2021-09-20,4,4,9,10,12,18,1
2021-09-27,3,5,6,10,13,7,1
2021-10-04,2,5,8,14,20,19,3
2021-10-11,1,6,9,15,26,16,6
2021-10-18,3,5,10,23,36,35,4
2021-10-25,3,9,19,23,47,36,7
2021-11-01,6,14,21,42,71,52,3
2021-11-08,6,17,18,35,73,65,12
2021-11-15,6,21,30,63,101,75,5
2021-11-22,6,29,33,82,115,97,8
2021-11-29,9,17,39,84,106,89,6
2021-12-06,11,21,37,72,102,83,6
2021-12-13,6,17,25,58,86,63,6
2021-12-20,3,13,17,41,60,57,5
2021-12-27,5,11,15,41,54,41,3
2022-01-03,4,8,15,33,49,27,8
2022-01-10,2,5,9,26,38,14,4
2022-01-17,3,3,6,14,21,15,4
2022-01-24,7,6,8,19,17,22,3
2022-01-31,12,6,14,27,41,22,4
2022-02-07,2,4,11,18,28,31,8
2022-02-14,3,7,6,19,29,33,8
2022-02-21,1,5,7,22,33,27,1
2022-02-28,7,6,5,11,24,32,2
2022-03-07,8,6,6,8,37,29,9
2022-03-14,5,4,15,16,32,43,13
2022-03-21,3,5,7,15,41,43,11
2022-03-28,5,3,5,11,27,24,12
2022-04-04,2,3,5,14,16,24,10
2022-04-11,0,2,9,11,16,17,8
2022-04-18,1,0,1,7,14,17,9
2022-04-25,0,0,2,5,11,12,3
2022-05-02,1,1,1,2,11,7,1
2022-05-09,2,2,1,2,7,3,2
2022-05-16,0,1,0,3,4,10,0
2022-05-23,1,0,0,3,5,4,1
2022-05-30,2,0,0,2,4,6,3
2022-06-06,0,1,3,5,8,3,3
2022-06-13,1,2,1,5,9,4,7
2022-06-20,3,1,3,6,10,11,4
2022-06-27,1,4,3,3,9,10,2
2022-07-04,3,1,2,6,14,19,7
2022-07-11,1,5,4,3,11,16,5
2022-07-18,2,2,2,9,12,16,3
2022-07-25,2,3,1,7,13,9,4
2022-08-01,1,2,4,6,10,11,0
2022-08-08,3,0,1,6,9,8,5
2022-08-15,2,2,1,4,8,11,3
2022-08-22,3,0,2,5,8,3,0
2022-08-29,1,1,0,3,4,9,5
2022-09-05,0,0,0,4,9,4,6
2022-09-12,1,1,3,5,4,4,6
2022-09-19,1,2,3,3,4,12,7
2022-09-26,2,1,2,6,10,17,7
2022-10-03,3,1,4,5,6,16,12
2022-10-10,1,3,2,8,15,19,7
2022-10-17,3,3,3,3,18,18,7
2022-10-24,3,0,3,5,19,21,5
2022-10-31,0,1,2,7,9,15,2
2022-11-07,0,1,1,1,6,12,4
2022-11-14,0,1,1,3,6,3,5
2022-11-21,1,0,1,7,7,15,2
2022-11-28,1,2,3,4,8,8,3
2022-12-05,0,1,3,3,9,12,4
2022-12-12,0,1,1,9,15,12,8
2022-12-19,2,1,2,10,14,23,6
2022-12-26,1,3,1,10,10,20,10
